Variety,Group,Arrivals (Tonnes),Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Reported Date,Days,Price Range,Demand Indicator
 Local, Vegetables,958.9,1400,2600,2000,2025-07-12,557,1200,0.4792103948025987
 Local, Vegetables,1065.0,1200,3100,2150,2024-01-21,19,1900,0.49511854951185497
 Local, Vegetables,1441.6,1400,3200,2300,2025-06-05,520,1800,0.6265102129508909
 Local, Vegetables,496.4,800,2600,1700,2024-10-13,285,1800,0.2918283362727807
 Local, Vegetables,905.0,2000,4500,3250,2024-01-30,28,2500,0.278375884343279
 Local, Vegetables,1364.7,1200,2500,1850,2025-12-02,700,1300,0.7372771474878445
 Local, Vegetables,1164.2,2000,4500,3250,2024-03-26,84,2500,0.35810519840049215
 Local, Vegetables,1358.9,500,1800,1150,2024-02-16,45,1300,1.1806255430060817
 Local, Vegetables,2103.0,1500,3500,2500,2025-09-03,610,2000,0.8408636545381847
 Local, Vegetables,742.1,3200,4600,3900,2024-09-16,258,1400,0.19023327351961036
 Local, Vegetables,935.3,3600,5200,4400,2024-04-04,93,1600,0.2125198818450352
 Local, Vegetables,1396.7,500,1600,1050,2024-12-29,362,1100,1.3289248334919126
 Local, Vegetables,1718.6,1500,3300,2400,2024-11-28,331,1800,0.7157850895460225
 Local, Vegetables,1047.4,2500,6500,4500,2024-07-09,189,4000,0.2327038435903133
 Local, Vegetables,669.9,1100,3100,2100,2024-09-17,259,2000,0.318848167539267
 Local, Vegetables,646.3,3500,4800,4150,2024-05-23,142,1300,0.15569742230787761
 Local, Vegetables,920.3,700,2100,1400,2024-11-26,329,1400,0.656887937187723
 Local, Vegetables,1004.8,2500,7000,4750,2024-12-11,344,4500,0.2114923174068617
 Local, Vegetables,1214.2,2000,5200,3600,2024-02-29,58,3200,0.3371841155234657
 Local, Vegetables,1924.0,600,1800,900,2024-08-01,212,1200,2.1354051054384016
 Local, Vegetables,962.9,1200,3000,2100,2024-12-10,343,1800,0.458305568776773
 Local, Vegetables,1161.6,2500,7000,4750,2024-11-07,310,4500,0.2444958956009261
 Local, Vegetables,957.5,2500,6500,4500,2024-12-13,346,4000,0.2127305043323706
 Local, Vegetables,1750.2,2000,7000,4500,2024-05-22,141,5000,0.3888469229060209
 Local, Vegetables,911.1,700,2100,1400,2024-12-08,341,1400,0.650321199143469
 Local, Vegetables,1617.0,2500,7000,4750,2024-02-24,53,4500,0.3403494001262892
 Local, Vegetables,1303.9,1400,2600,2000,2025-09-10,617,1200,0.651624187906047
 Local, Vegetables,981.7,3000,4400,3600,2024-09-27,269,1400,0.2726187170230492
 Local, Vegetables,888.2,3000,4800,3900,2024-03-24,82,1800,0.22768520892078956
 Local, Vegetables,1339.3,500,2200,1350,2024-08-07,218,1700,0.991339748334567
 Local, Vegetables,956.4,1400,3000,2200,2024-12-03,336,1600,0.43452975920036346
 Local, Vegetables,982.3,2400,6600,4500,2024-10-23,295,4200,0.21824039102421683
 Local, Vegetables,1196.6,2000,5000,3500,2024-01-17,15,3000,0.34178806055412736
 Local, Vegetables,1019.4,1600,2800,2200,2025-03-10,433,1200,0.4631531122217174
 Local, Vegetables,2509.9,600,1800,1200,2024-03-28,86,1200,2.089841798501249
 Local, Vegetables,1625.5,400,1800,1100,2024-09-23,265,1400,1.4763851044504996
 Local, Vegetables,970.6,3600,5000,4300,2024-09-11,253,1400,0.22566844919786097
 Local, Vegetables,632.2,3000,4300,3650,2024-11-15,318,1300,0.17315803889345385
 Local, Vegetables,1223.6,2000,6000,4000,2024-12-03,336,4000,0.3058235441139715
 Local, Vegetables,1364.3,2000,7000,4500,2024-12-31,364,5000,0.3031104199066874
 Local, Vegetables,1025.7,1600,3500,2550,2024-10-24,296,1900,0.402077616620933
 Local, Vegetables,1387.0,2000,5000,3500,2024-02-02,31,3000,0.3961725221365324
 Local, Vegetables,1731.7,1400,2500,2050,2025-10-16,653,1100,0.8443198439785471
 Local, Vegetables,1283.2,2200,4600,3400,2024-11-18,321,2400,0.3773007938841517
 Local, Vegetables,895.8,2500,6000,4250,2024-06-04,154,3500,0.21072688779110796
 Local, Vegetables,641.0,700,2500,1600,2024-06-12,162,1800,0.40037476577139286
 Local, Vegetables,1112.6,800,3000,1900,2024-03-01,59,2200,0.5852709100473434
 Local, Vegetables,1760.3,500,1700,1100,2024-05-07,126,1200,1.5988192552225249
 Local, Vegetables,1597.6,600,2000,1300,2024-09-01,243,1400,1.227978478093774
 Local, Vegetables,924.2,2800,4000,3400,2024-01-16,14,1200,0.2717436048221112
 Local, Vegetables,1008.8,1400,2600,2000,2025-02-23,418,1200,0.5041479260369814
 Local, Vegetables,2383.6,1500,2500,2000,2025-03-12,435,1000,1.1912043978010993
 Local, Vegetables,1954.1,600,1800,1200,2024-08-18,229,1200,1.627060782681099
 Local, Vegetables,1193.5,2000,3500,2750,2024-09-15,257,1500,0.43384223918575066
 Local, Vegetables,933.5,3500,5200,4350,2024-02-06,35,1700,0.21454837968283152
 Local, Vegetables,1233.3,1400,2800,2100,2025-12-04,702,1400,0.5870061875297478
 Local, Vegetables,2311.7,500,1900,1200,2024-02-28,57,1400,1.9248126561199
 Local, Vegetables,1349.8,500,1500,1000,2024-03-20,78,1000,1.3484515484515485
 Local, Vegetables,1020.6,2000,6000,4000,2024-11-05,308,4000,0.2550862284428893
 Local, Vegetables,1883.4,700,1700,1200,2024-03-14,72,1000,1.5681931723563698
 Local, Vegetables,1181.9,2500,6200,4350,2024-11-19,322,3700,0.27163870374626525
 Local, Vegetables,1594.8,1500,2800,2150,2025-01-28,392,1300,0.7414225941422594
 Local, Vegetables,4427.6,1400,2600,2000,2025-02-03,398,1200,2.2126936531734134
 Local, Vegetables,1546.4,600,2000,1300,2025-03-04,427,1400,1.1886241352805536
 Local, Vegetables,1359.6,600,2000,1300,2024-05-16,135,1400,1.0450422751729438
 Local, Vegetables,1194.9,1400,2800,2100,2025-02-19,414,1400,0.5687291765825798
 Local, Vegetables,1556.0,1200,2600,1900,2025-01-29,393,1400,0.8185165702261967
 Local, Vegetables,1108.5,600,1800,1200,2024-05-10,129,1200,0.9229808492922564
 Local, Vegetables,786.7,1000,3000,2000,2024-06-18,168,2000,0.39315342328835584
 Local, Vegetables,1684.6,1600,3200,2400,2025-01-24,388,1600,0.7016243231986672
 Local, Vegetables,1512.6,400,1600,1000,2024-04-01,90,1200,1.511088911088911
 Local, Vegetables,1470.6,600,1600,1100,2024-04-08,97,1000,1.3356948228882832
 Local, Vegetables,1326.4,2000,6500,4250,2024-11-08,311,4500,0.31202070101152674
 Local, Vegetables,1332.7,1500,3200,2350,2024-12-24,357,1700,0.5668651637601021
 Local, Vegetables,1168.9,1600,3200,2400,2024-12-26,359,1600,0.4868388171595169
 Local, Vegetables,1132.5,600,1800,1200,2024-05-09,128,1200,0.9429641965029142
 Local, Vegetables,1035.0,600,2000,1400,2024-05-03,122,1400,0.7387580299785867
 Local, Vegetables,954.8,600,1900,1250,2024-11-24,327,1300,0.7632294164668265
 Local, Vegetables,1185.9,2500,6500,4500,2024-12-15,348,4000,0.2634747833814708
 Local, Vegetables,1936.0,1500,7000,4250,2024-06-28,178,5500,0.4554222535873912
 Local, Vegetables,1056.3,1000,3000,2000,2024-08-28,239,2000,0.5278860569715143
 Local, Vegetables,790.7,2400,4000,3200,2024-12-05,338,1600,0.2470165573258357
 Local, Vegetables,1111.3,2300,6500,4400,2024-11-27,330,4200,0.2525107930015905
 Local, Vegetables,1773.2,1500,3000,2250,2025-02-18,413,1500,0.7877387827632164
 Local, Vegetables,1139.2,2600,4000,3300,2024-12-17,350,1400,0.34510754316873676
 Local, Vegetables,1621.3,1500,2900,2200,2024-01-07,5,1400,0.7366197183098592
 Local, Vegetables,1354.5,1500,3200,2350,2025-12-12,710,1700,0.5761378136962995
 Local, Vegetables,1306.8,2000,7500,4750,2024-12-18,351,5500,0.27505788255104185
 Local, Vegetables,1413.5,1600,3000,2300,2024-04-28,117,1400,0.6142981312472838
 Local, Vegetables,1381.8,600,1600,1100,2024-02-17,46,1000,1.255040871934605
 Local, Vegetables,1341.2,1600,3200,2400,2025-08-04,580,1600,0.5586005830903791
 Local, Vegetables,909.3,1400,3000,2200,2024-10-27,299,1600,0.41313039527487505
 Local, Vegetables,1578.2,1500,4800,3150,2024-12-25,358,3300,0.5008568708346557
 Local, Vegetables,914.2,1600,3200,2400,2024-04-03,92,1600,0.3807580174927114
 Local, Vegetables,1330.6,600,1600,1100,2024-08-13,224,1000,1.2085376930063578
 Local, Vegetables,1278.3,1800,3500,2650,2024-06-07,157,1700,0.4821953979630328
 Local, Vegetables,913.6,800,2700,1750,2024-07-25,205,1900,0.5217589948600799
 Local, Vegetables,672.0,1200,3000,2100,2024-08-29,240,1800,0.31984769157544024
 Local, Vegetables,981.1,2500,4100,3300,2024-06-10,160,1600,0.2972129657679491
 Local, Vegetables,1129.3,900,3100,2000,2024-12-22,355,2200,0.564367816091954
 Local, Vegetables,1835.5,1400,2800,2100,2024-10-06,278,1400,0.8736316039980961
 Local, Vegetables,1659.9,2200,4600,3400,2024-01-27,25,2400,0.4880623346074684
 Local, Vegetables,1582.3,1400,3000,2200,2025-08-11,587,1600,0.7189004997728305
 Local, Vegetables,1271.8,1800,3500,2650,2024-05-26,145,1700,0.4797434930215013
 Local, Vegetables,1269.7,700,2100,1400,2024-12-27,360,1400,0.9062812276945039
 Local, Vegetables,1532.9,1600,3200,2400,2024-06-25,175,1600,0.638442315701791
 Local, Vegetables,969.0,1000,3100,2050,2024-07-23,203,2100,0.47245246221355436
 Local, Vegetables,1175.2,1200,3000,2100,2024-11-14,317,1800,0.5593526891956212
 Local, Vegetables,941.3,2000,6100,4050,2024-11-22,325,4100,0.23236237965934337
 Local, Vegetables,953.3,2500,6500,4500,2024-04-07,96,4000,0.21179737836036436
 Local, Vegetables,1912.6,600,1600,1100,2024-06-27,177,1000,1.737148047229791
 Local, Vegetables,828.2,1000,3000,2000,2024-07-08,188,2000,0.4138930534732634
 Local, Vegetables,712.3,1000,3100,2050,2024-09-19,261,2100,0.34729400292540225
 Local, Vegetables,777.2,3200,4800,4000,2024-07-04,184,1600,0.19425143714071483
 Local, Vegetables,1143.3,1200,3200,2200,2024-10-28,300,2000,0.5194457064970468
 Local, Vegetables,1432.4,2000,5000,3500,2024-08-02,213,3000,0.40914024564410173
 Local, Vegetables,1126.4,1400,3000,2200,2024-08-25,236,1600,0.5117673784643344
 Local, Vegetables,1589.6,2400,4000,3200,2024-10-09,281,1600,0.4965948141205873
 Local, Vegetables,1022.5,2000,4400,3200,2024-12-30,363,2400,0.31943142767885035
 Local, Vegetables,1142.2,1500,3300,2400,2024-05-15,134,1800,0.4757184506455644
 Local, Vegetables,1142.2,1500,3300,2400,2024-05-15,134,1800,0.4757184506455644
 Local, Vegetables,1038.3,600,2000,1300,2024-06-19,169,1400,0.7980784012298232
 Local, Vegetables,839.4,1000,3000,2000,2024-01-14,12,2000,0.4194902548725637
 Local, Vegetables,530.0,1500,2600,2050,2025-07-18,563,1100,0.25841053144807413
 Local, Vegetables,751.5,1200,3000,2100,2024-03-29,87,1800,0.35768681580199907
 Local, Vegetables,2101.6,500,1700,1100,2024-03-08,66,1200,1.9088101725703905
 Local, Vegetables,1718.2,600,1800,1200,2024-03-22,80,1200,1.4306411323896753
 Local, Vegetables,1304.4,500,1500,1000,2024-09-22,264,1000,1.3030969030969033
 Local, Vegetables,1128.4,3500,4900,4200,2024-01-02,0,1400,0.26860271363960964
 Local, Vegetables,1052.3,1800,3700,2750,2025-03-17,440,1900,0.38251544892766265
 Local, Vegetables,2454.4,400,1600,1000,2024-02-27,56,1200,2.451948051948052
 Local, Vegetables,2626.0,700,2100,1400,2024-03-06,64,1400,1.8743754461099216
 Local, Vegetables,1594.5,600,1800,1200,2024-12-07,340,1200,1.3276436303080765
 Local, Vegetables,985.7,2200,4500,3350,2024-10-10,282,2300,0.29415099970158165
 Local, Vegetables,849.9,3000,4500,3750,2024-09-08,250,1500,0.22657957877899226
 Local, Vegetables,951.5,1200,3100,2150,2024-07-14,194,1900,0.4423523942352394
 Local, Vegetables,251.3,1000,3000,2000,2024-07-01,181,2000,0.1255872063968016
 Local, Vegetables,1139.7,1200,3000,2100,2024-07-30,210,1800,0.5424559733460257
 Local, Vegetables,839.6,900,2500,1700,2024-05-30,149,1600,0.4935920047031158
 Local, Vegetables,1007.9,1500,2600,2050,2024-02-26,55,1100,0.49141882008776205
 Local, Vegetables,1466.7,500,1500,1000,2025-04-21,475,1000,1.4652347652347653
 Local, Vegetables,1345.6,1500,3300,2400,2024-01-19,17,1800,0.5604331528529779
 Local, Vegetables,1078.6,2000,6300,4150,2025-11-12,680,4300,0.25984100216815226
 Local, Vegetables,1105.5,1500,4500,3000,2024-10-11,283,3000,0.3683772075974675
 Local, Vegetables,1105.5,1500,4500,3000,2024-06-30,180,3000,0.3683772075974675
 Local, Vegetables,851.5,1000,3000,2000,2024-04-25,114,2000,0.4255372313843078
 Local, Vegetables,984.4,600,1600,1100,2024-06-17,167,1000,0.8940962761126249
 Local, Vegetables,513.5,1000,3100,2050,2024-10-03,275,2100,0.25036567528035103
 Local, Vegetables,624.4,2000,4400,3200,2024-04-02,91,2400,0.1950640424867229
 Local, Vegetables,1390.0,500,1700,1100,2024-07-19,199,1200,1.262488646684832
 Local, Vegetables,970.1,1300,3100,2200,2024-05-24,143,1800,0.44075420263516585
 Local, Vegetables,983.9,800,2200,1500,2024-07-10,190,1400,0.6554963357761492
 Local, Vegetables,692.1,1200,3200,2200,2024-10-25,297,2000,0.31444797819173104
 Local, Vegetables,1370.4,1800,5000,3400,2024-03-11,69,3200,0.40294031167303734
 Local, Vegetables,1892.3,700,1900,1300,2024-05-21,140,1200,1.4544965411222137
 Local, Vegetables,1084.4,600,2000,1300,2024-04-26,115,1400,0.8335126825518833
 Local, Vegetables,1263.2,500,1500,1000,2024-06-09,159,1000,1.261938061938062
 Local, Vegetables,1475.1,1000,3200,2100,2024-07-28,208,2200,0.7020942408376963
 Local, Vegetables,1270.5,1200,3000,2100,2024-08-21,232,1800,0.6047120418848168
 Local, Vegetables,688.5,2000,3800,2900,2024-09-13,255,1800,0.23733195449844882
 Local, Vegetables,655.4,3000,4300,3650,2024-10-07,279,1300,0.1795124623390852
 Local, Vegetables,1028.1,2500,4500,3500,2024-04-05,94,2000,0.29365895458440444
 Local, Vegetables,1579.1,600,1600,1100,2024-06-11,161,1000,1.4342415985467756
 Local, Vegetables,1500.0,1000,3000,2000,2024-10-22,294,2000,0.7496251874062968
 Local, Vegetables,951.0,2400,5000,3700,2024-12-05,338,2600,0.25695757903269384
 Local, Vegetables,1149.4,2500,7000,4750,2024-09-29,271,4500,0.2419280151547043
 Local, Vegetables,1450.2,2000,4200,3100,2024-11-21,324,2200,0.46765559496936476
 Local, Vegetables,775.6,2500,6500,4500,2024-01-05,3,4000,0.17231726283048213
 Local, Vegetables,1998.8,1500,3300,2400,2025-02-25,420,1800,0.8324864639733445
 Local, Vegetables,1526.4,1400,2600,2000,2025-11-01,669,1200,0.7628185907046477
 Local, Vegetables,536.8,1800,5100,3450,2024-01-20,18,3300,0.1555491161982034
 Local, Vegetables,1251.9,1600,3200,2400,2025-08-12,588,1600,0.5214077467721783
 Local, Vegetables,1384.9,1800,3500,2650,2024-08-08,219,1700,0.5224066390041494
 Local, Vegetables,1037.9,1500,3100,2300,2024-12-16,349,1600,0.451064754454585
 Local, Vegetables,1355.4,1600,6000,3600,2024-04-19,108,4400,0.37639544570952516
 Local, Vegetables,1273.0,500,1500,1000,2024-02-05,34,1000,1.2717282717282716
 Local, Vegetables,1045.6,1500,2700,2100,2025-10-30,667,1200,0.497667777248929
 Local, Vegetables,892.2,1600,5000,3300,2024-12-19,352,3400,0.2702817328082399
 Local, Vegetables,1475.3,1600,3200,2400,2024-05-12,131,1600,0.6144523115368596
 Local, Vegetables,1323.9,600,1800,1200,2024-07-31,211,1200,1.1023313905079102
 Local, Vegetables,816.5,1400,3000,2200,2024-07-05,185,1600,0.3709677419354839
 Local, Vegetables,1212.1,1200,3200,2200,2024-11-03,306,2000,0.5507042253521126
 Local, Vegetables,54.0,1500,5400,3450,2024-09-24,266,3900,0.015647638365691104
 Local, Vegetables,1024.3,3000,4800,3900,2024-04-22,111,1800,0.2625736990515252
 Local, Vegetables,1125.0,500,1500,1000,2024-09-26,268,1000,1.123876123876124
 Local, Vegetables,715.9,3500,4800,4150,2024-05-02,121,1300,0.17246446639364008
 Local, Vegetables,1194.7,600,1800,1200,2024-05-06,125,1200,0.9947543713572023
 Local, Vegetables,1636.3,800,2200,1500,2024-09-30,272,1400,1.0901399067288473
 Local, Vegetables,716.0,2000,4200,3100,2024-01-12,10,2200,0.23089326023863269
 Local, Vegetables,1607.1,1400,2500,2050,2025-03-31,454,1100,0.7835689907362262
 Local, Vegetables,1944.0,400,1600,1000,2024-04-14,103,1200,1.942057942057942
 Local, Vegetables,1786.1,500,1500,1000,2024-08-05,216,1000,1.7843156843156842
 Local, Vegetables,397.7,1400,3000,2200,2024-09-05,247,1600,0.18069059518400726
 Local, Vegetables,1024.2,3000,4400,3700,2024-01-22,20,1400,0.27673601729262365
 Local, Vegetables,1206.1,1400,3200,2300,2025-07-11,556,1800,0.5241634072142546
 Local, Vegetables,992.5,1500,3100,2300,2024-05-19,138,1600,0.4313342025206432
 Local, Vegetables,1854.0,600,2000,1300,2024-03-18,76,1400,1.4250576479631054
 Local, Vegetables,1493.2,500,1500,1000,2024-05-20,139,1000,1.4917082917082918
 Local, Vegetables,1149.3,600,2000,1300,2024-08-14,225,1400,0.8833973866256726
 Local, Vegetables,1291.7,2000,3600,2800,2024-04-24,113,1600,0.4611567297393788
 Local, Vegetables,942.2,600,1600,1050,2024-06-03,153,1000,0.8964795432921028
 Local, Vegetables,637.2,700,2500,1600,2024-09-12,254,1800,0.398001249219238
 Local, Vegetables,590.3,2900,4300,3600,2024-06-20,170,1400,0.16392668703138016
 Local, Vegetables,1115.4,1000,3200,2100,2024-09-02,244,2200,0.5308900523560209
 Local, Vegetables,561.6,2800,4200,3500,2024-12-04,337,1400,0.1604113110539846
 Local, Vegetables,1018.4,2000,7000,4500,2024-08-20,231,5000,0.2262608309264608
 Local, Vegetables,555.3,2000,3500,2750,2024-02-27,56,1500,0.20185387131952015
 Local, Vegetables,1300.0,1400,2600,2000,2025-04-09,463,1200,0.6496751624187906
 Local, Vegetables,1175.0,500,1500,1000,2024-12-10,343,1000,1.173826173826174
 Local, Vegetables,829.3,1200,3200,2200,2024-07-03,183,2000,0.376783280327124
 Local, Vegetables,1162.8,2200,6200,3700,2024-11-06,309,4000,0.31418535530937586
 Local, Vegetables,2357.6,600,1800,1200,2024-03-03,61,1200,1.963030807660283
 Local, Vegetables,1311.0,1100,3100,2100,2024-07-07,187,2000,0.623988576868158
 Local, Vegetables,884.8,2000,3500,2750,2025-01-01,365,1500,0.32162849872773536
 Local, Vegetables,813.7,1000,3000,2000,2024-07-15,195,2000,0.4066466766616692
 Local, Vegetables,772.5,3200,4500,3850,2024-09-09,251,1300,0.20059724746819008
 Local, Vegetables,1471.9,1400,2600,2000,2024-01-31,29,1200,0.7355822088955523
 Local, Vegetables,1263.0,1200,3000,2100,2025-07-21,566,1800,0.601142313184198
 Local, Vegetables,913.6,2000,4600,3300,2024-10-04,276,2600,0.2767646167827931
 Local, Vegetables,1362.3,1500,3200,2350,2025-01-06,370,1700,0.5794555508294342
 Local, Vegetables,826.3,1000,3000,2000,2024-06-26,176,2000,0.41294352823588204
 Local, Vegetables,1330.0,2500,4600,3550,2024-10-15,287,2100,0.3745423824274852
 Local, Vegetables,1289.5,2500,7000,4750,2024-12-06,339,4500,0.2714165438854978
 Local, Vegetables,1693.4,2800,4200,3500,2024-08-23,234,1400,0.48369037417880606
 Local, Vegetables,1059.5,1400,2600,2000,2025-02-04,399,1200,0.5294852573713144
 Local, Vegetables,1935.8,1400,2600,2000,2025-01-10,374,1200,0.967416291854073
 Local, Vegetables,1313.0,2000,4600,3300,2024-10-17,289,2600,0.3977582550742199
 Local, Vegetables,1849.3,1500,3000,2250,2024-12-20,353,1500,0.8215459795646379
 Local, Vegetables,743.4,2000,5000,3500,2024-10-31,303,3000,0.21233933161953727
 Local, Vegetables,950.8,2000,6500,4250,2024-11-13,316,4500,0.22366501999529523
 Local, Vegetables,1570.2,1400,2800,2100,2025-02-07,402,1400,0.7473584007615421
 Local, Vegetables,2102.2,1500,2700,2100,2025-02-21,416,1200,1.000571156592099
 Local, Vegetables,1375.8,1400,2800,2100,2025-01-09,373,1400,0.654831032841504
 Local, Vegetables,883.2,600,1600,1100,2025-04-15,469,1000,0.8021798365122617
 Local, Vegetables,280.8,1200,3000,2100,2024-07-26,206,1800,0.13365064255116613
 Local, Vegetables,1168.3,2500,7200,4850,2024-12-09,342,4700,0.24083694083694082
 Local, Vegetables,775.4,800,2600,1700,2024-06-06,156,1800,0.4558495002939447
 Local, Vegetables,1266.9,3300,4500,3900,2024-09-04,246,1200,0.324762881312484
 Local, Vegetables,1632.2,1800,4700,3250,2024-10-20,292,2900,0.502060904337127
 Local, Vegetables,760.6,2500,6500,4500,2024-11-11,314,4000,0.16898467007331705
 Local, Vegetables,1071.6,600,2000,1300,2024-05-14,133,1400,0.823674096848578
 Local, Vegetables,1266.8,1500,3200,2350,2025-01-23,387,1700,0.5388345384942578
 Local, Vegetables,874.7,1400,3000,2200,2024-07-29,209,1600,0.39741026805997276
 Local, Vegetables,1031.3,2800,4200,3500,2024-08-22,233,1400,0.2945729791488146
 Local, Vegetables,1266.9,3300,4500,3900,2024-08-26,237,1200,0.324762881312484
 Local, Vegetables,781.9,2500,4000,3250,2024-07-24,204,1500,0.24051061211934788
